Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An explanation of software architecture explanations,Empirical Software Engineering,,,,10.1007/s10664-025-10782-3,Satrio A. RukmonoFilip ZamfirovLina OchoaFloris PexMichel R. V. Chaudron,2026,https://link.springer.com/article/10.1007/s10664-025-10782-3,Article
Exploring and mining rationale information for low-rating software applications,Soft Computing,,,,10.1007/s00500-023-09054-3,Tahir UllahJaved Ali KhanNek Dil KhanAffan YasinHasna Arshad,2023,https://link.springer.com/article/10.1007/s00500-023-09054-3,Article
Are Architecture Design Decisions in&#xa0;Distributed Teams Supported by&#xa0;Tools?,Enterprise Information Systems,,,,10.1007/978-3-031-64748-2_17,Mahum AdilIlenia FronzaOuti Sievi-KorteClaus Pahl,2024,https://link.springer.com/chapter/10.1007/978-3-031-64748-2_17,Conference paper
Helping Novice Architects to Make Quality Design Decisions Using an LLM-Based Assistant,Software Architecture,,,,10.1007/978-3-031-70797-1_21,J. Andrés Díaz-PaceAntonela TommaselRafael Capilla,2024,https://link.springer.com/chapter/10.1007/978-3-031-70797-1_21,Conference paper
Architecture Degradation at&#xa0;Scale: Challenges and&#xa0;Insights from&#xa0;Practice,Product-Focused Software Process Improvement,,,,10.1007/978-3-032-12089-2_30,Ehsan ZabardastBhuwan PaudelJavier Gonzalez-Huerta,2026,https://link.springer.com/chapter/10.1007/978-3-032-12089-2_30,Conference paper
A Brief Survey on Human-AI Collaboration for Architecture Design of Industrial Systems,Hybrid Human-AI Collaborative Networks,,,,10.1007/978-3-032-05673-3_4,Antonio Monte PegadoLuis M. Camarinha-MatosAndre Dionisio Rocha,2026,https://link.springer.com/chapter/10.1007/978-3-032-05673-3_4,Conference paper
LEDGE : Leveraging dependency graphs for enhanced context aware documentation generation,Automated Software Engineering,,,,10.1007/s10515-026-00596-y,Mihir PanchalArnav DeoVarad PrabhuPrinkal DoshiChetashri BhadanePranit Bari,2026,https://link.springer.com/article/10.1007/s10515-026-00596-y,Article
A Structured Metamodel for&#xa0;Architecture Debt Management,Towards New e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-032-01904-2_2,Flavien Hervé SomdaDésiré Guel,2025,https://link.springer.com/chapter/10.1007/978-3-032-01904-2_2,Conference paper
Analysis of Automotive SPICE V4.0 Changes,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-71139-8_22,Damjan EkertElena-Flavia PovirnaruAndreas GaschRalf MayerSo NorimatsuAlexander FeulnerBrigitte Kurz-GrießnigPeter LindermuthRainer DrevesRudolf GraveRichard Messnarz,2024,https://link.springer.com/chapter/10.1007/978-3-031-71139-8_22,Conference paper
What Rationales Drive Architectural Decisions? An&#xa0;Empirical Inquiry,Software Architecture,,,,10.1007/978-3-031-42592-9_21,Klara BorowaRafał LewanczykKlaudia StpiczyńskaPatryk StradomskiAndrzej Zalewski,2023,https://link.springer.com/chapter/10.1007/978-3-031-42592-9_21,Conference paper
Operationalizing Responsible BPM: A Method for&#xa0;Value-Based Process Redesign,"Business Process Management: Responsible BPM Forum, Process Technology Forum, Educators Forum",,,,10.1007/978-3-032-02936-2_7,Djordje DjuricaSandro FranzoiSarah Spiekermann-Hoff,2026,https://link.springer.com/chapter/10.1007/978-3-032-02936-2_7,Conference paper
Yggdrasil: An Artifact-Based Framework for Hypermedia Multi-Agent Systems,Agents and Multi-Agent Systems Development,,,,10.1007/978-3-032-01082-7_7,Andrei CiorteaMatteo CastellucciKai SchultzJérémy LeméeDanai VachtsevanouFabien GandonSimon MayerValentin BergerSamuele BurattiniAlessandro RicciOlivier Boissier,2026,https://link.springer.com/chapter/10.1007/978-3-032-01082-7_7,Chapter
A Framework on Early Decoupling Level Metric Assessment Based on NLP4RE,The Proceedings of the 2023 Conference on Systems Engineering Research,,,,10.1007/978-3-031-49179-5_12,Lu XiaoGengwu ZhaoMaximilian VierlboeckRoshanak Nilchiani,2024,https://link.springer.com/chapter/10.1007/978-3-031-49179-5_12,Conference paper
Towards a&#xa0;Sustainability-Aware Software Architecture Evaluation for&#xa0;Cloud-Based Software Services,"Software Architecture. ECSA 2023 Tracks, Workshops, and Doctoral Symposium",,,,10.1007/978-3-031-66326-0_13,Iffat FatimaPatricia Lago,2024,https://link.springer.com/chapter/10.1007/978-3-031-66326-0_13,Conference paper
Clarifying Assumptions,The Application of Formal Methods,,,,10.1007/978-3-031-67114-2_3,Cliff B. Jones,2024,https://link.springer.com/chapter/10.1007/978-3-031-67114-2_3,Chapter
Variability Support in DSL Development,Variable Domain-specific Software Languages with DjDSL,,,,10.1007/978-3-030-42152-6_2,Stefan Sobernig,2020,https://link.springer.com/chapter/10.1007/978-3-030-42152-6_2,Chapter
Building the&#xa0;MSR Tool Kaiaulu: Design Principles and&#xa0;Experiences,Software Architecture,,,,10.1007/978-3-031-15116-3_6,Carlos ParadisRick Kazman,2022,https://link.springer.com/chapter/10.1007/978-3-031-15116-3_6,Conference paper
The Unavoidable Issue of Tangibility,Design for Flexibility,,,,10.1007/978-3-030-76391-6_7,Guy André Boy,2021,https://link.springer.com/chapter/10.1007/978-3-030-76391-6_7,Chapter
Design and Develop Artefact,An Introduction to Design Science,,,,10.1007/978-3-030-78132-3_7,Paul JohannessonErik Perjons,2021,https://link.springer.com/chapter/10.1007/978-3-030-78132-3_7,Chapter
